Timestamp,What main industry have you worked in?,How many years professional experience do you have?,How many years programming experience do you have?,What key experiences do you have?,Data management,Statistics,Visualisation,Machine Learning & Data Mining,Software Engineering,Communication,How would you define Data Science in one sentence?,What key skills do you want to develop?,What kind of role would you like to go into?,What industry would you like to go into?,,Customer Relationship Management,26,,(Applied) Statistician,9
1/23/2023 19:20:15,Education and Training,3,3,"Relational databases, NoSQL",4,3,3,5,2,4,Knowledge extraction ,"Machine learning, Data mining, Natural Language Processing",Data Scientist,Education and Training,,Data mining,62,,Analyst,51
2/14/2023 15:46:18,Mining,10,0.5,"Visualisation, Requirements gathering",5,3,5,5,4,5,Managing and presenting data so that it is easily understood by others.,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Data mining, Natural Language Processing, Programming, Customer Relationship Management, Requirements gathering, Product-driven thinking",Data Engineer,Financial and Insurance Services,,Ethics,24,,Consultant,15
2/16/2023 16:19:39,Publishing,14,0,"Customer Relationship Management, Management, Requirements gathering",5,5,5,5,5,5,"Data Science is a process by which practitioners build 'practical solutions to real-life data-centric problems' per Godsey, B. (2017). Think like a data scientist. Manning Publications.","Visualisation, Machine learning, Natural Language Processing","Data Scientist, Analyst",Utilities,,Information Retrieval,33,,Data Analyst,1
2/17/2023 17:39:15,Information Technology,5,4,"Relational databases, Information Retrieval, Visualisation, Programming, Customer Relationship Management, Requirements gathering",4,5,4,5,4,4,Make sense of data and automate predictions.,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Programming, Ethics, Software engineering","Data Engineer, Data Architect",Information Technology,,Machine learning,73,,Data Architect,24
2/18/2023 8:28:37,biostatistic,1,2,Statistical Analysis,3,5,3,5,3,5,data management,"NoSQL, Statistical Analysis, Programming, SAS programming","Data Engineer, Data Scientist, Analyst, (Applied) Statistician, Research, UX/Design",pharmaceutical,,Management,40,,Data Engineer,40
2/18/2023 11:57:39,Housing,5,2,"Relational databases, Statistical Analysis, Machine learning, Programming",3,3,5,2,1,1,The best career,"NoSQL, Machine learning, Data mining, Natural Language Processing","Data Engineer, Data Scientist",Manufacturing,,Natural Language Processing,57,,Data Scientist,77
2/18/2023 16:43:07,Manufacturing,10,0.1,"Information Retrieval, Visualisation",5,4,5,5,4,5,Change a business question to a math question and solve it,"NoSQL, Machine learning, Natural Language Processing, Programming, Management, Software engineering, Product-driven thinking","Data Scientist, Analyst",Information Technology,,NoSQL,33,,Machine Learning Engineer,1
2/19/2023 1:19:04,Information Technology,0,1,"Information Retrieval, Statistical Analysis, Requirements gathering, Product-driven thinking",5,4,4,4,2,5,Data Science is what data scientists do.,"Relational databases, NoSQL, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Customer Relationship Management, Management, Requirements gathering, Ethics, Product-driven thinking","Data Engineer, Data Scientist, Analyst, Quantitative Analyst, Product Management",Information Technology,,Option 9,11,,Marketing management,1
2/19/2023 17:01:31,Education and Training,8,1,"Statistical Analysis, Customer Relationship Management, Management",3,4,3,2,2,5,A search for patterns and answers,"Relational databases, NoSQL, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Software engineering, Product-driven thinking","Data Scientist, Analyst, (Applied) Statistician, Quantitative Analyst, Research",Scientific Research,,Product-driven thinking,40,,Product Management,15
2/20/2023 14:46:29,Information Technology,0,3,"Relational databases, Statistical Analysis, Machine learning, Programming",3,4,4,5,3,3,"Data science is the act of collecting, sorting and analyzing data.","NoSQL, Statistical Analysis, Visualisation, Machine learning, Data mining",Data Scientist,Information Technology,,Programming,58,,Quantitative Analyst,19
2/20/2023 20:16:26,Education and Training,8,4,"Customer Relationship Management, Management, Requirements gathering, Ethics, Product-driven thinking",5,5,4,5,4,4,Data Science is the study of sorting specific data for particular fields.,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Option 9, Programming, Customer Relationship Management, Management, Requirements gathering, Ethics, Software engineering, Product-driven thinking","Data Scientist, Data Architect, Research",Scientific Research,,Relational databases,43,,Research,16
2/20/2023 22:48:06,Manufacturing,0,1,,4,5,5,4,4,5,Use of data to gather insights and make data-driven decisions.,"NoSQL, Statistical Analysis, Visualisation, Machine learning, Data mining, Programming, Management, Product-driven thinking","Data Engineer, Data Scientist, Analyst, Product Management",Manufacturing,,Requirements gathering,23,,Software Engineer,16
2/21/2023 0:57:32,Information Technology,1,1,"Relational databases, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Programming",5,5,5,5,4,4,Data Science entails information extraction and communication.,"Information Retrieval, Machine learning, Data mining, Natural Language Processing, Software engineering","Data Engineer, Data Scientist, Analyst, Quantitative Analyst",Financial and Insurance Services,,SAS programming,1,,UX/Design,9
2/21/2023 9:14:51,Automation,2,0,"Programming, Management",5,5,4,4,3,5,"Collect, manage, and analyse data to provide insights that support business decision-making.","Statistical Analysis, Visualisation, Machine learning, Data mining, Management","Data Engineer, Data Scientist, Data Architect, Research",Education and Training,,Software engineering,28,,,
2/21/2023 12:11:57,Mining,10,0.5,,5,3,5,5,3,5,Ability to manipulate and present data in a form that is understood by all.,"Relational databases, Statistical Analysis, Visualisation, Machine learning, Natural Language Processing, Programming, Requirements gathering, Ethics, Product-driven thinking","Data Engineer, Data Scientist, Data Architect",Mining,,Statistical Analysis,67,,,
2/21/2023 12:35:17,Food and grocery delivery ,6,2,"Relational databases, Statistical Analysis, Visualisation, Programming",5,5,4,5,4,5,The process of transforming data into valuable information for business decision-making,"Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming","Data Engineer, Data Scientist, Research",Scientific Research,,Visualisation,59,,,
2/21/2023 13:58:57,didn't have a job yet,0,0,"Relational databases, Statistical Analysis",3,5,5,5,3,4,"It's about gathering, analysing and visualising data with programs and mathematics tools.","Statistical Analysis, Visualisation, Machine learning, Data mining, Programming","Analyst, (Applied) Statistician, Quantitative Analyst",Financial and Insurance Services,,,,,,
2/21/2023 15:51:44,Manufacturing,5,0.5,"Statistical Analysis, Visualisation, Machine learning, Programming, Customer Relationship Management, Management, Ethics",4,5,5,5,4,5,"To research, compile and analyse the data to obtain insghts which can benefit its stake holders for future decision making.","Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Ethics","Data Engineer, Data Scientist, Data Architect, Analyst",Financial and Insurance Services,,,,,,
2/21/2023 16:32:56,Student,0,6,"Relational databases, Statistical Analysis, Visualisation, Data mining, Programming",4,4,4,5,3,5,Analysing data to answer important questions pertaining to business/industrial growth,"Relational databases, Information Retrieval, Machine learning, Data mining, Programming, Customer Relationship Management, Product-driven thinking","Data Scientist, Consultant, Product Management, UX/Design",Financial and Insurance Services,,,,,,
2/21/2023 17:21:08,Information Technology,9,6,"Relational databases, Information Retrieval, Programming, Customer Relationship Management, Management, Requirements gathering, Software Engineering, Product-driven thinking",5,4,5,4,3,4,Data science is a multidisciplinary field that involves the use of statistical and computational methods to extract insights and knowledge from data.,"Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Management, Software engineering, Product-driven thinking","Data Engineer, Data Scientist, Data Architect, Product Management, Software Engineer",Information Technology,,,,,,
